n,J,magnitude,noise_label,rho,valid_runs,top1_rwa,top2_rwa,top3_rwa,top1_pls,top2_pls,top3_pls
50,7,high,medium,0.5,166,0.6506024096385542,0.5993975903614458,0.5622489959839359,1.0,0.786144578313253,0.684738955823294
50,7,high,medium,0.95,56,0.6071428571428571,0.6071428571428571,0.5892857142857144,0.9821428571428571,0.9464285714285714,0.6964285714285713
50,7,high,high,0.0,1000,0.751,0.5625,0.5496666666666674,1.0,0.632,0.593666666666667
50,7,high,high,0.5,166,0.5963855421686747,0.5873493975903614,0.5682730923694779,1.0,0.7771084337349398,0.6686746987951814
50,7,high,high,0.95,56,0.5714285714285714,0.5982142857142857,0.5952380952380952,0.9821428571428571,0.9464285714285714,0.6964285714285713
50,11,low,low,0.0,1000,0.782,0.524,0.4689999999999985,0.999,0.5985,0.5023333333333323
50,11,low,low,0.5,4,0.5,0.5,0.41666666666666663,1.0,0.625,0.6666666666666666
50,11,low,low,0.95,3,0.6666666666666666,0.5,0.7777777777777777,1.0,0.6666666666666666,0.7777777777777777
50,11,low,medium,0.0,1000,0.625,0.4805,0.4466666666666649,0.992,0.584,0.48799999999999893
50,11,low,medium,0.5,4,0.25,0.625,0.5,1.0,0.625,0.6666666666666666
50,11,low,medium,0.95,3,0.6666666666666666,0.3333333333333333,0.7777777777777777,1.0,0.6666666666666666,0.7777777777777777
50,11,low,high,0.0,1000,0.374,0.3785,0.39999999999999886,0.889,0.5425,0.47033333333333266
50,11,low,high,0.5,4,0.25,0.25,0.5,1.0,0.625,0.6666666666666666
50,11,low,high,0.95,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
50,11,medium,low,0.0,1000,0.783,0.527,0.472333333333332,1.0,0.5975,0.5019999999999991
50,11,medium,low,0.5,4,0.5,0.5,0.41666666666666663,1.0,0.625,0.6666666666666666
50,11,medium,low,0.95,3,0.6666666666666666,0.5,0.7777777777777777,1.0,0.6666666666666666,0.7777777777777777
50,11,medium,medium,0.0,1000,0.746,0.5145,0.4616666666666649,0.998,0.594,0.4976666666666654
50,11,medium,medium,0.5,4,0.5,0.5,0.5,1.0,0.625,0.5833333333333333
50,11,medium,medium,0.95,3,0.3333333333333333,0.5,0.7777777777777777,1.0,0.6666666666666666,0.7777777777777777
50,11,medium,high,0.0,1000,0.625,0.4805,0.4466666666666649,0.992,0.584,0.48799999999999893
50,11,medium,high,0.5,4,0.25,0.625,0.5,1.0,0.625,0.6666666666666666
50,11,medium,high,0.95,3,0.6666666666666666,0.3333333333333333,0.7777777777777777,1.0,0.6666666666666666,0.7777777777777777
50,11,high,low,0.0,1000,0.785,0.5285,0.47199999999999875,1.0,0.5975,0.5026666666666658
50,11,high,low,0.5,4,0.5,0.5,0.3333333333333333,1.0,0.625,0.6666666666666666
50,11,high,low,0.95,3,0.6666666666666666,0.5,0.5555555555555555,1.0,0.6666666666666666,0.7777777777777777
50,11,high,medium,0.0,1000,0.78,0.522,0.4669999999999983,0.999,0.5975,0.5023333333333322
50,11,high,medium,0.5,4,0.5,0.5,0.41666666666666663,1.0,0.625,0.6666666666666666
50,11,high,medium,0.95,3,0.6666666666666666,0.5,0.7777777777777777,1.0,0.6666666666666666,0.7777777777777777
50,11,high,high,0.0,1000,0.746,0.5145,0.4616666666666649,0.998,0.594,0.4976666666666654
50,11,high,high,0.5,4,0.5,0.5,0.5,1.0,0.625,0.5833333333333333
50,11,high,high,0.95,3,0.3333333333333333,0.5,0.7777777777777777,1.0,0.6666666666666666,0.7777777777777777
50,15,low,low,0.0,1000,0.78,0.507,0.4256666666666646,1.0,0.58,0.47433333333333205
50,15,low,medium,0.0,1000,0.593,0.4505,0.3989999999999981,0.995,0.5665,0.4593333333333312
50,15,low,high,0.0,1000,0.334,0.3305,0.32933333333333265,0.842,0.5255,0.43099999999999733
50,15,medium,low,0.0,1000,0.784,0.508,0.42766666666666475,1.0,0.5785,0.47466666666666524
50,15,medium,medium,0.0,1000,0.727,0.498,0.4203333333333313,1.0,0.572,0.4683333333333318
50,15,medium,high,0.0,1000,0.593,0.4505,0.3989999999999981,0.995,0.5665,0.4593333333333312
50,15,high,low,0.0,1000,0.782,0.5095,0.4286666666666647,1.0,0.5785,0.47533333333333205
50,15,high,medium,0.0,1000,0.774,0.5065,0.4243333333333313,1.0,0.579,0.47499999999999887
